Id,Repo,Commit ID,Category,Change Files,Analysis,Notes,
52,https://github.com/time4tea/gopro-dashboard-overlay,https://github.com/time4tea/gopro-dashboard-overlay/commit/06b7bc256c87134efda620b85dbebba30798c2e8,Change base image,Dockerfile,Change from hardcoded to standard base image,Good practice,
53,https://github.com/time4tea/gopro-dashboard-overlay,https://github.com/time4tea/gopro-dashboard-overlay/commit/2cd2137cb2b9b42f2ea4f7332560da9db8577c6a,Change base image,Dockerfile,Change from hardcoded to standard base image,,
54,https://github.com/time4tea/gopro-dashboard-overlay,https://github.com/time4tea/gopro-dashboard-overlay/commit/b814ac6c5a58ef1960eb507ad32779c0f6f2277d,Runtime + Space Saving,Dockerfile,Remove tmp folder from image building,,
55,https://github.com/drone-plugins/drone-docker,All Commits,Docker specific Repo,Dockerfile,Repo for different docker images,,
56,https://github.com/facontidavide/PlotJuggler,https://github.com/facontidavide/PlotJuggler/commit/1c386d8a239570a108d064e87029aeef5a0c53d4,Add git,Dockerfile,Add git to command set,,
57,https://github.com/facontidavide/PlotJuggler,https://github.com/facontidavide/PlotJuggler/commit/0e0a993f9a26b3aa1e5563027f08d3ba8c5dcefa,Modularise commands,"Dockerfile, cleanup sh",Moves from using apt-get to modularising it in sh files,,
58,https://github.com/MichaelGrupp/evo,https://github.com/MichaelGrupp/evo/commit/9ecf31f3ffbba15d6521d767dd654cbf0a86732f,Upgrade base image,Dockerfile,"Upgrade base image and break previous builds, break backward compatibility",,
59,https://github.com/MichaelGrupp/evo,https://github.com/MichaelGrupp/evo/commit/d43aeaadd55900f3ce91f3ed499f30e44d47251c,Remove force install,Dockerfile,Move from forcing reinstall every time to installing only changed components,,
60,https://github.com/introlab/rtabmap,https://github.com/introlab/rtabmap/wiki/Installation#docker,Docker library,Dockerfile,Docker library for CPS tools,,
61,https://github.com/lgsvl/simulator,https://github.com/lgsvl/simulator/commit/d2d9fe0afb6e365718c352f0e03c4216da8bd088,Better Logging,Dockerfile,Log version to logs for readability,,
62,https://github.com/lgsvl/simulator,https://github.com/lgsvl/simulator/commit/29098b1032ba1fac87e3cd18408da89456df12e2,Resource usage reduction,Dockerfile,Move from using URL based json fetching to building json during run,,
63,https://github.com/lgsvl/simulator,https://github.com/lgsvl/simulator/commit/8a65c3cc1403e75d2c68aa069214fb50e89a19ff,Change base image,Dockerfile,Upgrade base image,,
64,https://github.com/lgsvl/simulator,https://github.com/lgsvl/simulator/commit/b51adea3ce2088302ad235cb975b9cf770a1879c,Build image on own,Dockerfile,Move from using URL based json fetching to building json during run,,
65,https://github.com/Unity-Technologies/Unity-Robotics-Hub,https://github.com/Unity-Technologies/Unity-Robotics-Hub/commit/513c4543feca9b9acf1e6d56a06c8a9cb86e77d0,Breakup Dockerfiles,Dockerfile,Breaks up docker files into multiple parts to have more modularity,,
66,https://github.com/Unity-Technologies/Unity-Robotics-Hub,https://github.com/Unity-Technologies/Unity-Robotics-Hub/commit/0b08f4f754443172ef79dabd3bb04017d3a01956,Add permissions,Dockerfile,Permissions error fixed in script,,
67,https://github.com/Unity-Technologies/Unity-Robotics-Hub,https://github.com/Unity-Technologies/Unity-Robotics-Hub/commit/ab6ad65a3f6ad1a580ff961e4f8cee5d30ead147,Add missed commands,Dockerfile,Add dos2unix command to docker image build,,
68,https://github.com/Unity-Technologies/Unity-Robotics-Hub,https://github.com/Unity-Technologies/Unity-Robotics-Hub/commit/8739ede30fcf8ca040822777ddd067ea3f036021,Run bash command to find text,Dockerfile,Utility changes,,
69,https://github.com/koide3/hdl_graph_slam,https://github.com/koide3/hdl_graph_slam/commit/447efdd2f4fd66408264d25daf84d8630dff333f,Refactor Dockerfile,Dockerfile,Refactor Dockerfile for readability and removing unwanted commands,,
70,https://github.com/norlab-ulaval/libpointmatcher,https://github.com/norlab-ulaval/libpointmatcher/commit/3a15503c673ff63ea6cc7807c8dc78a1f289ed57,Remove unwanted install,Docker-compose,Improve size,,
71,https://github.com/norlab-ulaval/libpointmatcher,https://github.com/norlab-ulaval/libpointmatcher/commit/e215e81d7440f8789a388e9639f939aa31d05834,Remove unwanted install,Docker-compose,Improve size,,
72,https://github.com/norlab-ulaval/libpointmatcher,https://github.com/norlab-ulaval/libpointmatcher/commit/fcfed3c215804b87843295a834672258e2c96401,Differentiate CI installs,Docker-compose,Add —build-system-CI-install to differentiate between production and CI installs,,
73,https://github.com/norlab-ulaval/libpointmatcher,https://github.com/norlab-ulaval/libpointmatcher/commit/082bfb55ecc67dd4cd3f1c775b7e5bacedfc02ff,Add permissions,Docker-compose,Permissions error fixed in script,,
74,https://github.com/norlab-ulaval/libpointmatcher,https://github.com/norlab-ulaval/libpointmatcher/commit/b97f7cd8b5ac5f9b5fd3147ba951b281fd62b75c,Clean build script,Dockerfile,Split dependencies logic to clean the script for readability,,
75,https://github.com/autorope/donkeycar,https://github.com/autorope/donkeycar/commit/8f4f155bd6dc1baa46bbbf515df3d164342b7e20,Automate running the build,Dockerfile,Automate build by removing edit flag and opening modules without user action,,
76,https://github.com/autorope/donkeycar,https://github.com/autorope/donkeycar/commit/e60ccbbfcbb38bbbe6e79cc670ec2a724e783bcd,Reduce unwanted pip installs,Dockerfile,Change trigger condition for pip install so unwanted installs are avoided,,
77,https://github.com/deepdrive/deepdrive,https://github.com/deepdrive/deepdrive/commit/4878cafa5709a35a0651a6a7b26d370d4ae064ee,Remove venv usage,Dockerfile,"Since docker provides isolation, using venv is redundant virtualization",,
78,https://github.com/deepdrive/deepdrive,https://github.com/deepdrive/deepdrive/commit/7d6b5d382749abb16ad05d76094cc81ec5b12552,Export output folder,Dockerfile,Export output folder to access root folder from outside,,
79,https://github.com/ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse/commit/017887a3946dd48c6cc1255d780dcc9074c2bb31,Replace space with = for older scripts,Dockerfile,Housekeeping work,,
80,https://github.com/mozilla/DeepSpeech,https://github.com/mozilla/DeepSpeech/commit/acecbc3e3e61930110df5cd9da2ad89526c0e2c9,Optimise image build process,docker.yml,Make the build process faster and more efficient by having separate builds for build and deploy,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
